row,player,mlbid,owner_2015_EOY,price_2015,price_2014,status_auction_2015,status_auction_2014,status_2016,keepable_price
77,Craig Kimbrel,518886,eric,27,25,,,2 yr keeper @ 27,27
78,Kenley Jansen,445276,eric,8,8,Keeper,Keeper,Forced FA (2 yr keeper),
79,David Price,456034,eric,30,25,,,2 yr keeper @ 30,30
80,Carlos Carrasco,471911,eric,1,FA pickup,Keeper,,Forced FA (1 yr FA),
81,Jon Lester,452657,eric,5,5,Keeper,Keeper,Forced FA (2 yr keeper),
82,Félix Hernández,433587,eric,30,30,Keeper,,1 yr max keeper @ 30,30
83,Carson Smith,605476,eric,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
84,Hanley Ramírez,434670,eric,12,12,Keeper,Keeper,Forced FA (2 yr keeper),
85,Derek Norris,519083,ptb,1,FA pickup,,,2 yr keeper @ 1,1
86,Chris Davis,448801,ptb,3,3,Keeper,Keeper,Forced FA (2 yr keeper),
87,Manny Machado,592518,ptb,10,15,,,2 yr keeper @ 10,10
88,Delino DeShields,592261,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
89,Jake Marisnick,545350,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
90,Danny Valencia,502143,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
91,Edwin Encarnación,429665,ptb,46,1,,Keeper,2 yr keeper @ 46,46
92,Evan Gattis,594828,ptb,19,2,,,2 yr keeper @ 19,19
93,David Peralta,444482,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
94,Kendrys Morales,434778,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
95,DJ LeMahieu,518934,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
96,Michael Brantley,488726,ptb,2,2,Keeper,,1 yr max keeper @ 2,2
97,Kelby Tomlinson,605509,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
98,Adam Conley,543045,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
99,Matt Wisler,605538,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
100,Dan Haren,429717,ptb,FA pickup,2,,,$1 FA 1yr keeper,1
101,Zach Britton,502154,ptb,8,FA pickup,,,2 yr keeper @ 8,8
102,Mike Morin,573046,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
103,Santiago Casilla,433586,ptb,7,FA pickup,,,2 yr keeper @ 7,7
104,Kevin Jepsen,448178,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
105,Lance McCullers,621121,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
106,John Lackey,407793,ptb,2,FA pickup,,,2 yr keeper @ 2,2
107,Yusmeiro Petit,433589,ptb,8,FA pickup,,,2 yr keeper @ 8,8
108,Matt Harvey,518774,ptb,5,5,Keeper,,1 yr max keeper @ 5,5
109,Tyson Ross,475115,ptb,12,5,,,2 yr keeper @ 12,12
110,Marcus Stroman,573186,ptb,1,FA pickup,,,2 yr keeper @ 1,1
111,Sonny Gray,543243,ptb,12,16,,,2 yr keeper @ 12,12
112,Carter Capps,605169,ptb,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
113,Carlos Santana,467793,omar,21,21,Keeper,,1 yr max keeper @ 21,21
114,Paul Goldschmidt,502671,omar,58,5,,Keeper,2 yr keeper @ 58,58
115,Evan Longoria,446334,omar,24,48,,,2 yr keeper @ 24,24
116,Curtis Granderson,434158,omar,1,7,,,2 yr keeper @ 1,1
117,Jay Bruce,457803,omar,9,43,,,2 yr keeper @ 9,9
118,Nelson Cruz,443558,omar,5,5,Keeper,,1 yr max keeper @ 5,5
119,Álex Rodríguez,121347,omar,3,FA pickup,,,2 yr keeper @ 3,3
120,Kolten Wong,543939,omar,11,3,,,2 yr keeper @ 11,11
121,Adam Jones,430945,omar,39,7,,Keeper,2 yr keeper @ 39,39
122,Robinson Canó,429664,omar,47,47,Keeper,,1 yr max keeper @ 47,47
123,Elvis Andrus,462101,omar,15,32,,,2 yr keeper @ 15,15
124,Jonathan Schoop,570731,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
125,Eugenio Suárez,553993,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
126,Michael A. Taylor,572191,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
127,José Reyes,408314,omar,22,22,Keeper,,1 yr max keeper @ 22,22
128,J.P. Crawford,641487,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
129,Jace Peterson,607054,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
130,Aaron Judge,592450,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
131,Marco Estrada,462136,omar,1,8,,,2 yr keeper @ 1,1
132,Chris Archer,502042,omar,3,3,Keeper,,1 yr max keeper @ 3,3
133,David Robertson,502085,omar,14,14,,,2 yr keeper @ 14,14
134,Andrew Miller,453192,omar,9,FA pickup,,,2 yr keeper @ 9,9
135,Brad Ziegler,446899,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
136,Roberto Osuna,532077,omar,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
137,Mark Melancon,453343,omar,4,4,Keeper,,1 yr max keeper @ 4,4
138,Garrett Richards,572070,omar,9,FA pickup,,,2 yr keeper @ 9,9
139,Danny Salazar,517593,omar,2,20,,,2 yr keeper @ 2,2
140,J.T. Realmuto,592663,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
141,Albert Pujols,405395,carter,18,22,,,2 yr keeper @ 18,18
142,Daniel Murphy,502517,carter,8,7,,,2 yr keeper @ 8,8
143,Mike Moustakas,519058,carter,FA pickup,3,,,$1 FA 1yr keeper,1
144,Troy Tulowitzki,453064,carter,50,50,Keeper,,1 yr max keeper @ 50,50
145,Josh Reddick,502210,carter,1,1,,,2 yr keeper @ 1,1
146,Lorenzo Cain,456715,carter,1,FA pickup,,,2 yr keeper @ 1,1
147,Yasiel Puig,624577,carter,57,1,,Keeper,2 yr keeper @ 57,57
148,Rougned Odor,596059,carter,3,FA pickup,,,2 yr keeper @ 3,3
149,Jacoby Ellsbury,453056,carter,27,33,,Keeper,2 yr keeper @ 27,27
150,Brandon Crawford,543063,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
151,Yunel Escobar,488862,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
152,Adam Lind,452252,carter,1,2,,,2 yr keeper @ 1,1
153,Joey Gallo,608336,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
154,Blake Swihart,596119,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
155,Trea Turner,607208,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
156,Mark Teixeira,407893,carter,FA pickup,3,,,$1 FA 1yr keeper,1
157,José Fernández,605228,carter,22,1,,Keeper,2 yr keeper @ 22,22
158,Héctor Santiago,502327,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
159,Henry Owens,596064,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
160,Arodys Vizcaíno,527055,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
161,Luis Severino,622663,carter,FA pickup,FA pickup,,,$1 FA 1yr keeper,1
162,Gio González,461829,carter,8,6,,Keeper,2 yr keeper @ 8,8
163,Drew Smyly,592767,carter,6,2,,,2 yr keeper @ 6,6
164,Jason Hammel,434628,carter,2,FA pickup,,,2 yr keeper @ 2,2
165,Drew Storen,519322,carter,8,FA pickup,,,2 yr keeper @ 8,8
166,Adam Wainwright,425794,carter,21,28,,,2 yr keeper @ 21,21
167,Miguel Montero,471083,whet,FA pickup,2,,,$1 FA 1yr keeper,1
